gate,parameter,threshold_class,freeze_readiness,primary_anchor,remaining_requirement
Qz,min_z_levels,design_floor,FREEZE_NOW_DESIGN,"Registered corrected V2 surface requires >=5 informative realized z levels",none
Qz,min_flowers_per_level,design_floor,POWER_PRECISION_REQUIRED,"Congeneric manipulation used 72 shortened and 72 controls; historical scale only","Prospective cluster-bootstrap precision target"
Qz,min_plants,design_floor,POWER_PRECISION_REQUIRED,"P. rex surveys used 16-36 plants/population; historical scale only","Prospective independent-plant precision target"
Qz,min_adjacent_exsertion_gap,target_effect,CALIBRATION_REQUIRED,"P. rex morphology measured with 0.1-mm calipers; z is dimensionless ratio","Propagated z measurement error plus minimum useful dynamic range"
Qz,max_opening_width_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Corolla opening measured in 2016","Sham/repeatability variance plus negligible-change rationale"
Qz,max_tube_diameter_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Tube diameter measured in 2016","Sham/repeatability variance plus negligible-change rationale"
Qz,max_bract_height_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Bract height measured in 2016","Sham/repeatability variance plus negligible-change rationale"
Qz,max_lower_lip_angle_change_deg,equivalence_tolerance,CALIBRATION_REQUIRED,"No source equivalence margin recovered","Focal repeatability plus negligible-change rationale"
Qz,max_water_depth_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Water-defence function established but no measurement equivalence margin","Water-depth repeatability plus downstream-y preservation margin"
Qz,max_flower_orientation_change_deg,equivalence_tolerance,CALIBRATION_REQUIRED,"No source equivalence margin recovered","Focal repeatability plus negligible-change rationale"
Qz,max_mechanical_damage_rate,equivalence_tolerance,CALIBRATION_REQUIRED,"Congeneric tape manipulation establishes feasibility only","P. rex sham/handling calibration plus acceptable damage ceiling"
Qp,min_paired_plants,design_floor,POWER_PRECISION_REQUIRED,"P. rex historical studies used tens of plants; not paired Qp","Prospective paired-plant power or CI-width target"
Qp,min_flowers_per_treatment,design_floor,POWER_PRECISION_REQUIRED,"Historical work used repeated flowers/capsules per plant","Within-plant precision target after plant floor is set"
Qp,min_pollen_grain_delta,target_effect,BIOLOGICAL_RELEVANCE_PLUS_CALIBRATION,"Historical mean pollen load about 12.53 grains/stigma","Define useful pollen increase and obtain calibration variance"
Qp,min_initial_seed_set_delta,target_effect,BIOLOGICAL_RELEVANCE_PLUS_CALIBRATION,"Historical initial seed set 31.10-48.53% across populations","Define useful reduction of pollen limitation and obtain calibration variance"
Qp,max_early_predator_attack_difference,equivalence_tolerance,CALIBRATION_REQUIRED,"No source equivalence margin recovered","Attack-score repeatability plus negligible-change margin"
Qp,max_z_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"z measurement defined; no supplementation-specific equivalence margin","Sham repeatability on z scale"
Qp,max_bract_height_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Bract height measured historically","Sham repeatability plus negligible-change margin"
Qp,max_opening_width_relative_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Opening width measured historically","Sham repeatability plus negligible-change margin"
Qp,max_water_depth_change,equivalence_tolerance,CALIBRATION_REQUIRED,"Water-y must remain fixed","Water-depth repeatability plus y-preservation margin"
Qp,max_mechanical_damage_rate,equivalence_tolerance,CALIBRATION_REQUIRED,"No supplementation-handling damage ceiling recovered","Sham-handling calibration"
