system_id,system_label,primary_source_repos,g1,g2,g3,g4,g5,g6,g7,g8,g9,current_claim_ceiling,flagship_current_role,next_valid_gate
pedicularis_rex,Pedicularis rex,"SCH;BALANCE;BITA",PARTIAL_SUPPORT,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,"Strong same-system conflict ingredients and selective functional-state precedent; randomized multi-level shared-coordinate L receipt and matched architecture worldline remain unexecuted.",CORE_ENTRY_SUPPORT,"Use SLK PEDICULARIS_G2_CLOSURE_PROTOCOL_V1: qualify non-destructive z, natural-vs-supplemented P, independent SCH_PEDICULARIS_PREDATOR_METHOD_V3 with water-y fixed, run FULL_SURFACE_WRAPPER_V2, pass component-optimum upgrade, then export biological L."
dalechampia_scandens,Dalechampia scandens/genus,"SCH;BITA",PARTIAL_SUPPORT,NOT_IDENTIFIED,REALITY_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,"Strongest published case-level stabilizing-compromise geometry, but observational and geographically variable; historical redeployment is architecture reality, not R.",CORE_ENTRY_SUPPORT,"Qualify conflict-active population then execute selective multi-level causal compromise surface."
nicotiana_attenuata,Nicotiana attenuata,"SCH;BITA",PARTIAL_SUPPORT,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,"Same-coordinate dual-audience and attraction-defence evidence; no common-fitness causal L or architecture R.",MECHANISM_BRIDGE,"Close selective common-fitness conflict receipt before architecture promotion."
peucedanum_multivittatum,Peucedanum multivittatum,"BITA;BALANCE;SCH",REALITY_ONLY,NOT_IDENTIFIED,REALITY_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,"Published numeric partial functional differentiation and selection mosaic; not a matched shared-versus-differentiated R receipt.",ARCHITECTURE_REALITY,"Recover matched shared-like versus differentiated worldline on one common fitness scale."
cichlid_jaw_system,cichlid oral + pharyngeal jaws,BITA,NOT_IDENTIFIED,NOT_IDENTIFIED,REALITY_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,"Natural partial differentiation with residual integration; no s, R, K, or Phi estimate.",ARCHITECTURE_REALITY,"No promotion without explicit matched architecture fitness comparison."
bita_17_system_frontier,BITA 17-system high-information frontier,BITA,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,"Strong mechanism-identification evidence after multiple axes exist; fragmented identification is informative but outside direct G1-G9 closure.",POST_ARCHITECTURE_MECHANISM,"Retain as mechanism-identification evidence, not as an SLK gate pass."
dactylorhiza_sambucina,Dactylorhiza sambucina,PAYOFF,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,ANALOGUE_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,"Manipulated five-frequency generic two-morph game and rare-morph reversal; no independent S/D architecture mapping.",DOWNSTREAM_PROCESS_ANALOGUE,"Supply independent qualified S/D architecture mapping and preserve frequency design."
primula_farinosa,Primula farinosa,"PAYOFF;SCH",REALITY_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,ANALOGUE_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,"Mutualist-antagonist frequency feedback and microevolutionary frequency change support ecological plausibility, not architecture-specific invasion.",DOWNSTREAM_PROCESS_ANALOGUE,"Map strategies independently to qualified shared/differentiated architecture pair."
arabidopsis_halleri,Arabidopsis halleri,PAYOFF,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,ANALOGUE_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,"Context-switching frequency feedback candidate with public data; no qualified SLK architecture pair.",DOWNSTREAM_PROCESS_ANALOGUE,"Validate architecture mapping independently of frequency-game outcome."
pseudomonas_stutzeri,Pseudomonas stutzeri cross-feeding system,PAYOFF,NOT_IDENTIFIED,NOT_IDENTIFIED,REALITY_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED,ANALOGUE_ONLY,NOT_IDENTIFIED,NOT_IDENTIFIED,"Real reciprocal game-layer information and division-of-labour biology, but strategic-unit and architecture mapping do not satisfy the SLK S/D comparison.",DOWNSTREAM_PROCESS_ANALOGUE,"Resolve strategic-unit equivalence and independently certify S/D mapping."
